Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1260,1uF,C_0603_1608Metric,22.502097,81.395155,0.0,top
C1261,2.2uF,C_0603_1608Metric,34.580097,81.395155,0.0,top
C1262,4.7uF,C_0603_1608Metric,46.658097,81.395155,0.0,top
C1263,10uF,C_0603_1608Metric,58.723097,81.395155,0.0,top
C1264,10uF,C_0603_1608Metric,70.788097,81.395155,0.0,top
C1265,22uF,C_0603_1608Metric,82.853097,81.395155,0.0,top
C1266,1nF,C_0603_1608Metric,62.025097,114.530555,0.0,top
C1267,1.5nF,C_0603_1608Metric,74.110297,114.530555,0.0,top
C1268,2.2nF,C_0603_1608Metric,86.307497,114.530555,0.0,top
C1269,2.7nF,C_0603_1608Metric,98.448697,114.530555,0.0,top
C1270,3.3nF,C_0603_1608Metric,25.537697,105.398155,0.0,top
C1271,4.7nF,C_0603_1608Metric,37.596897,105.398155,0.0,top
C1272,6.8nF,C_0603_1608Metric,49.649497,105.398155,0.0,top
C1273,8.2nF,C_0603_1608Metric,61.726897,105.398155,0.0,top
C1274,10nF,C_0603_1608Metric,73.759897,105.398155,0.0,top
C1275,15nF,C_0603_1608Metric,85.799497,105.398155,0.0,top
C1276,22nF,C_0603_1608Metric,97.889897,105.398155,0.0,top
C1277,33nF,C_0603_1608Metric,25.525297,96.381155,0.0,top
C1278,47nF,C_0603_1608Metric,37.588897,96.381155,0.0,top
C1279,68nF,C_0603_1608Metric,49.624097,96.381155,0.0,top
C1280,100nF,C_0603_1608Metric,61.726697,96.381155,0.0,top
C1281,220nF,C_0603_1608Metric,73.674297,96.381155,0.0,top
C1282,330nF,C_0603_1608Metric,85.799497,96.381155,0.0,top
C1283,470nF,C_0603_1608Metric,97.788297,96.381155,0.0,top
C1284,1uF,C_0603_1608Metric,25.499297,87.287955,0.0,top
C1285,2.2uF,C_0603_1608Metric,37.577297,87.287955,0.0,top
C1286,4.7uF,C_0603_1608Metric,49.655297,87.287955,0.0,top
C1287,10uF,C_0603_1608Metric,61.720297,87.287955,0.0,top
C1288,10uF,C_0603_1608Metric,73.785297,87.287955,0.0,top
C1289,22uF,C_0603_1608Metric,85.850297,87.287955,0.0,top
C1290,1nF,C_0603_1608Metric,62.025097,113.057355,0.0,top
C1291,1.5nF,C_0603_1608Metric,74.110297,113.057355,0.0,top
C1292,2.2nF,C_0603_1608Metric,86.307497,113.057355,0.0,top
C1293,2.7nF,C_0603_1608Metric,98.448697,113.057355,0.0,top
C1294,3.3nF,C_0603_1608Metric,25.537697,103.924955,0.0,top
C1295,4.7nF,C_0603_1608Metric,37.596897,103.924955,0.0,top
C1296,6.8nF,C_0603_1608Metric,49.649497,103.924955,0.0,top
C1297,8.2nF,C_0603_1608Metric,61.726897,103.924955,0.0,top
C1298,10nF,C_0603_1608Metric,73.759897,103.924955,0.0,top
C1299,15nF,C_0603_1608Metric,85.799497,103.924955,0.0,top
C1300,22nF,C_0603_1608Metric,97.889897,103.924955,0.0,top
C1301,33nF,C_0603_1608Metric,25.525297,94.907955,0.0,top
C1302,47nF,C_0603_1608Metric,37.588897,94.911955,0.0,top
C1303,68nF,C_0603_1608Metric,49.624097,94.911955,0.0,top
C1304,100nF,C_0603_1608Metric,61.726697,94.911955,0.0,top
C1305,220nF,C_0603_1608Metric,73.674297,94.911955,0.0,top
C1306,330nF,C_0603_1608Metric,85.799497,94.907955,0.0,top
C1307,470nF,C_0603_1608Metric,97.788297,94.907955,0.0,top
C1308,1uF,C_0603_1608Metric,25.499297,85.814755,0.0,top
C1309,2.2uF,C_0603_1608Metric,37.577297,85.814755,0.0,top
C1310,4.7uF,C_0603_1608Metric,49.655297,85.814755,0.0,top
C1311,10uF,C_0603_1608Metric,61.720297,85.814755,0.0,top
C1312,10uF,C_0603_1608Metric,73.785297,85.814755,0.0,top
C1313,22uF,C_0603_1608Metric,85.850297,85.814755,0.0,top
